state,year,ev_registrations,total_vehicles,ev_share_percent,stations,total_charging_outlets,level_1,level_2,dc_fast,fuel_economy,incentives,population_20_64,education_bachelor,labour_force_participation_rate,unemployment_rate,bachelor_attainment,per_cap_income,affectweather,devharm,discuss,exp,localofficials,personal,reducetax,regulate,worried,price_cents_per_kwh,gasoline_price_per_gallon,party
Alabama,2018,1300,4476700,0.03,165,395,72,261,62,54,10,2825611,664685,71.3,5.2,23.52,27525,52.66,54.44,30.01,39.92,56.91,40.85,63.57,75.06,58.54,9.63,2.243,Republican
Alabama,2019,2000,4593200,0.04,195,506,56,385,65,32.96,10,2823485,687404,72.6,4.7,24.35,28650,49.22,55.19,27.26,31.87,52.75,35.54,60.31,68.2,51.38,9.83,2.295,Republican
Alabama,2020,2900,4683200,0.06,224,598,56,451,91,30.63,12,2856423,709463,72.6,4.9,24.835,29629,53.33,58,26.17,37.28,50.57,40.11,62.84,69.7,56.11,9.84,2.327,Republican
Alabama,2021,4700,4747600,0.1,277,682,35,529,118,28.52,13,2889360,731521,72.5,5.1,25.32,30608,53.64,61.12,27.3,38.02,54.74,40.62,60.92,67.15,57.56,10.18,2.49,Republican
Alabama,2022,8700,4795500,0.18,327,851,35,578,238,28.47,14,2907037,764167,73.8,4.2,26.29,33777,49.63,59.27,26.96,37.02,50.83,38.63,60.83,68.41,54.59,11.59,2.651,Republican
Alabama,2023,13000,4835900,0.27,424,1096,35,704,357,26.3,16,2900643,772092,74.1,3.5,26.62,35046,50.28,58.17,27.69,36.36,51.68,39.06,62.16,69.01,54.95,11.47,2.742,Republican
Alaska,2018,500,613900,0.08,7,11,0,11,0,54,12,446460,117735,78.6,6.3,26.37,35735,57.48,61.28,40.87,42.23,55.98,41.69,63.01,74.57,62.31,19.36,2.94,Republican
Alaska,2019,700,602500,0.12,19,34,0,30,4,32.96,12,441106,118296,77.1,5.3,26.82,36978,54.94,61.08,43.08,36.73,54.36,39.8,61.41,71.68,57.8,20.22,3.008,Republican
Alaska,2020,900,586100,0.15,37,68,0,63,5,30.63,12,437165,121818,77.7,5.95,27.875,38243.5,60.92,64.12,39.61,40.24,51.33,41.09,64.15,70.5,60.71,19.82,3.05,Republican
Alaska,2021,1300,569100,0.23,52,94,3,75,16,28.52,15,433224,125339,78.2,6.6,28.93,39509,62.25,67.51,39.19,41.39,55.13,43.2,63.35,69.14,63.23,20.02,3.264,Republican
